uur,vx_c,vx_b,vx_ster
2706,25507.339129492106,1420.8062173906928,170.46279662295774
2707,19663.857919150218,-4149.621745082688,213.9207470335087
2708,12857.413412650443,-9598.953974903643,258.4421924294711
2709,5015.404223355348,-14812.193201348151,303.4859975815139
2710,-3951.7653875201468,-19684.927759390885,348.60446294436963
2711,-14118.471483441084,-24126.485419573106,393.40248211383624
2712,-25466.60480009617,-28062.11634254807,437.40799736472457
2713,-37707.350943102014,-31434.284597254846,479.7512235297091
2714,-49910.59286113923,-34203.070228148434,518.4842112117176
2715,-59910.535931183906,-36344.368362927235,549.4751892130307
2716,-63975.95228523059,-37844.16494972322,565.7674213251754
2717,-58344.79379421327,-38697.02908258013,560.3977603422497
2718,-43122.94341920894,-38910.98231946082,533.6083642177654
2719,-23352.15903182768,-38505.98451398954,494.80541117873094
2720,-4507.040799357437,-37510.028797500985,454.2397027359607
2721,10753.659669191018,-35956.991645287344,417.00859180939983
2722,22048.032346970933,-33885.36141869391,384.0415982297221
2723,29904.769232282448,-31337.230252024856,354.6116799471899
2724,35008.532308748065,-28357.453744321072,327.72065088717125
2725,37943.31326367267,-24992.985671592753,302.5681157918124
2726,39145.71754453007,-21292.389132020395,278.6346716300314
2727,38921.90052638736,-17305.511321784288,255.6487953771742
2728,37475.428713248184,-13083.300562955512,233.53443814004856
2729,34931.01826401574,-8677.74011817036,212.36690038301822
2730,31351.579503299545,-4141.871582454276,192.3415660557657
2731,26749.525003986688,470.1202129868834,173.75356663572967
2732,21094.17602728921,5102.789697508016,156.9848249565237
2733,14317.655902996143,9699.31072390033,142.49390042561555
2734,6323.086393060238,14201.386785572322,130.8014147954152
2735,-2997.3873110644718,18549.226627796244,122.45698567344142
2736,-13718.617545618195,22681.624228465254,117.95772924439186
2737,-25778.502014553786,26536.18606158773,117.55540292256785
2738,-38750.36575725778,30049.752130893918,120.83456627732221
2739,-51413.11606553103,33159.059509116094,125.9167314935124
2740,-61194.528102573684,35801.69690273343,128.42905927460836
2741,-64240.10386808692,37917.39496668296,121.62365338891671
2742,-57600.202854583855,39449.68738376785,100.39742625173277
2743,-42557.84029512934,40347.952535033146,67.41132013459348
2744,-24044.676202543797,40569.79100320362,32.00036033139592
2745,-6527.152991170449,40083.630410502745,2.5789038675918796
2746,7938.861210399185,38871.405486569536,-16.959254171216458
2747,19025.93329044192,36931.104832856305,-25.999039816672692
2748,27107.291969730068,34278.91034916589,-25.323065827086506
2749,32700.451395133903,30950.6341739496,-16.094985578340083
2750,36263.978958104235,27002.1982041511,0.512131841639512
2751,38149.7607454441,22508.98359788376,23.40756638764751
2752,38607.587925268366,17563.98030945327,51.58535703949586
2753,37801.79202678102,12274.782027541118,84.1112887697156
2754,35826.80031902624,6759.597138061323,120.11764391037303
2755,32718.401785767117,1142.5672759621002,158.80992003627046
2756,28460.81005859324,-4451.224189941785,199.48311134320014
2757,22990.825540627528,-9900.63458900652,241.54269434810703
2758,16201.554732721088,-15092.843088577181,284.5234874180049
2759,7950.7320598476,-19926.92194961378,328.09527749954526
2760,-1915.0175331561695,-24316.41076183136,372.0332259228584
2761,-13494.352791334722,-28190.84527470823,416.1055620461579
2762,-26669.964626050856,-31496.341009040472,459.7799152658037
2763,-40761.28934214035,-34195.509014784104,501.5829723785471
2764,-53939.98517144774,-36267.09780327265,538.0214381874688
2765,-62787.40261570968,-37704.60362655109,562.7585538213668
2766,-63364.510090503594,-38510.30997615438,568.5503685032177
2767,-54454.23314548278,-38691.27470117423,553.1959406309703
2768,-39182.4706451026,-38264.23548558863,522.552720394138
2769,-22178.66135992621,-37255.274503558656,485.30315165092935
2770,-6547.024287609633,-35696.56671902716,447.3553396750195
2771,6500.940291467348,-33624.59113925032,411.1554657831024
2772,16831.289169137926,-31079.164386502605,377.1839859949808
2773,24718.127701492424,-28102.76603733639,345.1851877112588
2774,30518.08028880849,-24740.040029340107,314.76402579253966
2775,34549.38000362646,-21037.450734335416,285.60687185351657
2776,37059.35446410279,-17043.079566972152,257.54022528714637
2777,38223.4411148289,-12806.543288867604,230.53204807361186
2778,38152.667380630446,-8379.011243254972,204.67808433927135
2779,36901.290676605415,-3813.2962644908366,180.1883177772006
2780,34472.087341016544,836.007949162039,157.3780334245246
2781,30819.021137422525,5512.3723898312865,136.663807572633
2782,25848.204992389386,10157.193474167165,118.56255316736677
2783,19419.586611082934,14709.704956945232,103.68893115907288
2784,11355.093069408871,19106.981609373295,92.74032315256815
2785,1466.5589130466178,23284.08034660104,86.44454785664219
2786,-10367.03671449853,27174.369428645252,85.41562580465275
2787,-24014.803918337926,30710.100043922466,89.81000790627189
2788,-38718.2470059048,33823.27549292247,98.62928615192854
2789,-52528.087251080244,36446.869552219745,108.67543403162773
2790,-62035.42416404817,38516.43570155284,114.046048320002
2791,-63619.62063908271,39972.130388703525,108.42160397048566
2792,-56304.48145793299,40761.13956540594,90.31349478079034
2793,-42829.53680860979,40840.43752045669,65.02159692988695
2794,-27202.22209464269,40179.729771310995,40.10708383255298
2795,-12255.682446926508,38764.36810833072,20.875767491620458
2796,734.019013872181,36597.97595250518,9.657427456063152
2797,11457.652196516066,33704.48221178108,6.881361263582873
2798,20027.850260033716,30129.257106911446,12.073781931414267
2799,26684.255078484464,25939.090248521818,24.40119262980144
2800,31667.46311544691,21220.847521590364,42.91051386897583
2801,35174.43247307989,16078.77983479006,66.62703690933493
2802,37347.08431594197,10630.617050662931,94.59834872509596
2803,38272.201335771744,5002.73796672981,125.92286555368676
2804,37983.575768018345,-675.1699235660762,159.77721621196122
2805,36462.92482218129,-6275.486146188477,195.44610455798235
2806,33638.46639786118,-11677.607145121357,232.35398365136774
2807,29381.40116570038,-16772.091124617105,270.09586254422277
2808,23502.33683381088,-21463.74777697734,308.46202732095196
2809,15753.793990718876,-25673.569728190094,347.44475957582426
2810,5855.027964227775,-29339.53879067893,387.19733586055514
2811,-6421.455926927652,-32416.446041601877,427.8735742925563
2812,-21018.426841485147,-34874.93577322327,469.19574843582126
2813,-37093.30639567775,-36700.0441248573,509.52365458051975
2814,-52268.5551406507,-37889.64800960652,544.4644055347212
2815,-62423.4618374387,-38453.51055242414,566.4832167905789
2816,-63703.63350159452,-38412.15723229775,568.5991362721675
2817,-55933.63625274876,-37790.648801561794,550.6360178939728
2818,-42640.39010733746,-36614.75508930278,519.2431693711084
2819,-27752.56326252529,-34915.23824149163,481.8393864395027
2820,-13656.282426723616,-32727.949669128706,443.03132286848995
2821,-1321.6926767801524,-30091.973290242684,404.83576995805174
2822,9045.73022969161,-27048.584900563663,367.873540373129
2823,17550.142692420486,-23640.766971189332,332.20499033330003
2824,24382.193631628255,-19912.9798328287,297.7397937556693
2825,29727.002103669445,-15911.085766122716,264.4060406736884
2826,33731.35263166383,-11682.385257332562,232.21089000720193
2827,36494.27230223719,-7275.738838450216,201.25864556853065
2828,38065.21174219231,-2741.749919080803,171.75518047433985
2829,38443.223949266205,1867.017143310265,144.01072989816188
2830,37574.431671069855,6495.812021487995,118.44587783467409
2831,35346.81017795221,11087.498440555766,95.60234305832674
2832,31582.59536541163,15582.416133658917,76.15777674655885
2833,26030.952302235797,19918.347548747835,60.939465488084394
2834,18369.413504024727,24030.638606607703,50.92097267208304
2835,8237.225421223588,27852.528897861477,47.15876237370899
2836,-4643.817284031598,31315.750879650648,50.56605524353541
2837,-20151.819450293602,34351.457875567394,61.32231743527467
2838,-37130.88580393445,36891.53489977055,77.69765804312927
2839,-52648.996615256656,38870.33308173421,94.67534505351351
2840,-62344.93691077897,40226.84703420667,104.57821623853178
2841,-63113.28155943271,40907.32109846506,102.00025489604155
2842,-55704.43378374551,40868.21234843215,88.57956453554353
2843,-43553.8187698214,40079.351754241776,70.82269901770171
2844,-29947.801984039597,38527.06358776416,54.86478542650995
2845,-16836.077311284178,36216.9492815593,44.26510579506727
2846,-5061.797149432898,33176.005415365296,40.418663420041426
